exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,2000,8,250,22,1,inner_segment,sub_1,492405,61520,2.5568,0.6198,5.1909,,,663.62
2,2000,8,250,22,1,inner_segment,sub_2,492405,61520,2.5568,0.6504,5.2764,,,663.66
2,2000,8,250,22,1,inner_segment,sub_3,492405,61520,2.5568,0.6485,5.4001,,,663.45
2,2000,8,250,22,1,inner_segment,sub_4,492405,61520,2.5568,0.6541,6.0049,,,663.53
2,2000,8,250,22,1,inner_segment,sub_5,492405,61520,2.5568,0.7224,7.5521,,,663.77
2,2000,8,250,22,1,inner_segment,sub_6,492405,61520,2.5568,0.7301,7.4069,,,663.68
2,2000,8,250,22,1,inner_segment,sub_7,492405,61520,2.5568,0.7377,7.3584,,,663.69
2,2000,8,250,22,1,outer_recursive,recursion,6090772,6026,0.3871,0.2274,77.5966,0.0124,14656,8188.02
2,2000,8,250,22,2,inner_segment,sub_0,492405,61520,2.5568,0.6719,7.2965,,,663.68
2,2000,8,250,22,2,inner_segment,sub_1,492405,61520,2.5568,0.715,7.2937,,,663.69
2,2000,8,250,22,2,inner_segment,sub_2,492405,61520,2.5568,0.7257,7.3407,,,663.62
2,2000,8,250,22,2,inner_segment,sub_3,492405,61520,2.5568,0.7206,7.2991,,,663.91
2,2000,8,250,22,2,inner_segment,sub_4,492405,61520,2.5568,0.7236,7.3003,,,663.61
2,2000,8,250,22,2,inner_segment,sub_5,492405,61520,2.5568,0.7269,7.2895,,,663.76
2,2000,8,250,22,2,inner_segment,sub_6,492405,61520,2.5568,0.7229,7.2871,,,663.51
2,2000,8,250,22,2,inner_segment,sub_7,492405,61520,2.5568,0.722,7.2963,,,663.69
2,2000,8,250,22,2,outer_recursive,recursion,6090772,6026,0.2609,0.2333,77.7571,0.0122,14656,8126.43
2,2504,8,313,23,1,inner_segment,sub_0,642985,80513,3.5307,0.7765,7.76,,,952.98
2,2504,8,313,23,1,inner_segment,sub_1,642985,80513,3.5307,0.8133,8.0594,,,961.93
2,2504,8,313,23,1,inner_segment,sub_2,642985,80513,3.5307,0.8265,8.2527,,,961.94
2,2504,8,313,23,1,inner_segment,sub_3,642985,80513,3.5307,0.8694,11.4785,,,961.97
2,2504,8,313,23,1,inner_segment,sub_4,642985,80513,3.5307,0.8981,11.3008,,,961.67
2,2504,8,313,23,1,inner_segment,sub_5,642985,80513,3.5307,0.8936,11.9181,,,952.98
2,2504,8,313,23,1,inner_segment,sub_6,642985,80513,3.5307,1.0609,14.4587,,,961.52
2,2504,8,313,23,1,inner_segment,sub_7,642985,80513,3.5307,1.1855,12.4485,,,961.77
2,2504,8,313,23,1,outer_recursive,recursion,6092466,7122,0.4565,0.2235,77.6142,0.0121,14656,8128.44
2,2504,8,313,23,2,inner_segment,sub_0,642985,80513,3.5307,0.8422,11.1812,,,961.96
2,2504,8,313,23,2,inner_segment,sub_1,642985,80513,3.5307,0.8837,11.1578,,,953.13
2,2504,8,313,23,2,inner_segment,sub_2,642985,80513,3.5307,0.8846,11.245,,,961.95
2,2504,8,313,23,2,inner_segment,sub_3,642985,80513,3.5307,0.886,11.1517,,,961.93
2,2504,8,313,23,2,inner_segment,sub_4,642985,80513,3.5307,0.8904,11.6422,,,961.87
2,2504,8,313,23,2,inner_segment,sub_5,642985,80513,3.5307,0.8807,11.152,,,962.05
2,2504,8,313,23,2,inner_segment,sub_6,642985,80513,3.5307,0.8781,11.1808,,,961.97
2,2504,8,313,23,2,inner_segment,sub_7,642985,80513,3.5307,0.8832,11.1703,,,961.86
2,2504,8,313,23,2,outer_recursive,recursion,6092466,7122,0.2566,0.2324,77.8858,0.0127,14656,8210.27
2,2504,4,626,23,1,inner_segment,sub_0,1285027,161267,7.5077,1.4848,15.2366,,,1879.85
2,2504,4,626,23,1,inner_segment,sub_1,1285027,161267,7.5077,1.5404,20.1401,,,1880.0
2,2504,4,626,23,1,inner_segment,sub_2,1285027,161267,7.5077,1.5763,21.3966,,,1879.82
2,2504,4,626,23,1,inner_segment,sub_3,1285027,161267,7.5077,1.5708,21.3668,,,1880.01
2,2504,4,626,23,1,outer_recursive,recursion,3017592,6066,0.3451,0.2128,40.9781,0.0141,14656,4154.57
2,2504,4,626,23,2,inner_segment,sub_0,1285027,161267,7.5077,1.5098,21.3276,,,1879.87
2,2504,4,626,23,2,inner_segment,sub_1,1285027,161267,7.5077,1.5641,21.279,,,1879.78
2,2504,4,626,23,2,inner_segment,sub_2,1285027,161267,7.5077,1.5451,21.1858,,,1879.57
2,2504,4,626,23,2,inner_segment,sub_3,1285027,161267,7.5077,1.565,21.405,,,1879.95
2,2504,4,626,23,2,outer_recursive,recursion,3017592,6066,0.2511,0.2138,40.8908,0.0136,14656,4154.0
2,2504,2,1252,23,1,inner_segment,sub_0,2569110,322775,16.4734,2.8806,37.2088,,,3599.38
2,2504,2,1252,23,1,inner_segment,sub_1,2569110,322775,16.4734,2.9193,40.7941,,,3599.33
2,2504,2,1252,23,1,outer_recursive,recursion,1480155,5538,0.3094,0.2054,20.9542,0.0154,14656,2108.57
2,2504,2,1252,23,2,inner_segment,sub_0,2569110,322775,16.4734,2.9034,40.7385,,,3599.32
2,2504,2,1252,23,2,inner_segment,sub_1,2569110,322775,16.4734,2.9122,40.6939,,,3599.31
2,2504,2,1252,23,2,outer_recursive,recursion,1480155,5538,0.228,0.2054,21.0281,0.0157,14656,2075.3
2,3000,2,1500,24,1,inner_segment,sub_0,3206359,403248,21.0515,3.196,42.3056,,,4334.06
2,3000,2,1500,24,1,inner_segment,sub_1,3206359,403248,21.0515,3.2304,44.9656,,,4333.95
2,3000,2,1500,24,1,outer_recursive,recursion,1481319,6552,0.3153,0.2126,20.9315,0.0162,14656,2143.98
2,3000,2,1500,24,2,inner_segment,sub_0,3206359,403248,21.0515,3.1703,44.9517,,,4334.29
2,3000,2,1500,24,2,inner_segment,sub_1,3206359,403248,21.0515,3.2319,45.3214,,,4334.35
2,3000,2,1500,24,2,outer_recursive,recursion,1481319,6552,0.2224,0.2124,20.9684,0.0158,14656,2125.09
2,3000,4,750,24,1,inner_segment,sub_0,1603609,201498,9.8443,1.7142,17.7299,,,2201.44
2,3000,4,750,24,1,inner_segment,sub_1,1603609,201498,9.8443,1.8244,24.0796,,,2201.22
2,3000,4,750,24,1,inner_segment,sub_2,1603609,201498,9.8443,1.7644,23.8082,,,2201.43
2,3000,4,750,24,1,inner_segment,sub_3,1603609,201498,9.8443,1.755,23.675,,,2201.26
2,3000,4,750,24,1,outer_recursive,recursion,3018927,7102,0.3693,0.2164,41.1369,0.0137,14656,4149.32
